sentences	ADR	WD	EF	INF	SSI	DI
the generics of Lexapro are NOT all the same.	0	0	0	0	0	0
I was switched to Cymbalta from Pristiq for cost reasons because I have no insurance.	0	0	0	0	0	0
Has worked relatively well and is the only anti-depressant I've been on.	0	0	1	0	0	0
The side effects were like living a second version of my personal hell.	1	0	0	0	0	0
I started taking it at 100mg and then went on 50mg due to headaches I was also using endep 50mg for insomnia and pain.	1	0	0	0	0	0
I was taking 200mg every morning, however I now only take 50mg as I am trying to get my sexual problems to improve.	1	0	0	0	0	0
My mood is definitely lifted although my energy is really low.	0	0	1	1	1	1
Near the end of the two weeks I could feel my frustration as a sort of dull, heavy ache in my stomach, but I couldn't do anything about it because I was basically numb, a nonsexual being.	1	0	0	0	0	0
I feel sluggish,unmotivated,and still have depression,aniexty and pain.	1	0	0	1	1	1
I took this because I began to have severe panic attacks and issues with depression.	0	0	0	0	1	1
Xanax or something would do me much better with the Effexor that I am already taking.	0	0	0	0	0	0
Zoloft is helping.	0	0	1	0	0	0
I was so excited to start it as I was on Effexor for years but it had negative effects on my BP.	1	0	0	0	0	0
tiredness, increase in alcohol abuse/depenence (not near as bad as paxil), slightly decreased sexual desire(again not nearly as bad as paxil), somewhat decrease in energy, occasional euphoria.	1	0	0	0	0	0
Once the Med had firmly taken hold of me, my life turned from one full of anxiety, fear and depression, too one of absolute fulfillment and happiness.	0	0	1	0	1	1
At first my anxiety increased for the first week or so, but 0.25mg Xanax controlled that.	1	0	0	0	1	1
I feel so much better taking this drug and even my friends and family have noticed a dramatic change in my overall well-being, My Dr. started me on fluoxetine (Prozac- 10 mg) which I take in addition to the Effexor.	0	0	1	0	0	0
As a result surely of prior conditions, but I do feel in part because of the drug or its jittery side effects, I've been unable to stop weeping for the past hour.	1	0	0	0	0	0
after 2 years, I built up a tolerance and had to increase it from 50 mg to 100 mg. the depression was creeping back again.	0	0	0	1	1	1
Now I am trying to get off of the meds (pretty rough) to alleviate the negative side effects and return to a more natural state.	1	0	0	0	0	0
I also told off an attorney I was working with.	0	0	0	0	0	0
This particular drug did not work for me.	0	0	0	1	0	0
It has been 4.5 months and have had no adverse side effects from Zoloft.	0	0	0	0	0	0
WITHIN 4 DAYS IT STARTING WORKING.	0	0	1	0	0	0
in that time i had strange feelings almost like i was on a high at times.	1	0	0	0	0	0
check out the BLTC Good Drug Guide.	0	0	0	0	0	0
I did act like a jerk on it as well a few times.	1	0	0	0	0	0
Tried Zoloft first but had no reaction.	0	0	0	0	0	0
Each time I switched drugs I had to stop completely to start the other.	0	0	0	0	0	0
Would not recommend quitting cold turkey.	0	0	0	0	0	0
tremors,dizziness,headaches,anger,fits of rage, electrical shocks throughout whole body.	1	0	0	0	0	0
it's too dangerous, unless you have a doctor who will listen to you.	0	0	0	0	0	0
I hope it works soon	0	0	0	0	0	0
It should be banned.	0	0	0	0	0	0
Minor emotional periods (sad, angry) for only a few days each.	1	1	0	0	0	0
But this is the only one that does the trick.	0	0	1	0	0	0
I am going to switch back to celexa if possible since I took that before and the side effects were minimal and also to try and avoid zoloft withdrawl .	0	0	0	0	0	0
I do not feel drugged or cloudy.	0	0	1	0	0	0
I had it for 1.5 years with no side effect at all.	0	0	0	0	0	0
I can handle the side effects because I've felt so good over the past month.	1	0	1	0	0	0
With the approval and supervision of my doctor I am trying to get off of the medication.	0	0	0	0	0	0
Before I went on it I was always able to, but I never put two and two together to realize that the medicine was the reason I couldn't anymore.	0	0	0	0	0	0
I heard it was making people dense, like Lexapro started to do to me.	0	0	0	0	0	0
Sleeping more did not affect my sleep schedule.	1	0	0	0	0	0
Decreased appetite.	1	0	0	0	0	0
It seems only a VERY TOXIC drug would have this side effect.	1	0	0	0	0	0
achiness, tiredness, restlessness, blurry vision, tingling in arms, legs and hands, increased anxiety, high blood pressure, belching, heartburn, loss of appetite, strange taste in mouth, alternating hot and cold spells, headaches, loss of feeling during sex.	1	0	0	1	1	1
But it did help with depression.	0	0	1	0	1	1
Guess I went on to long.	0	0	0	0	0	0
The sexual dysfunction is not terrible and the sleeplessness is managable with sleeping tablets and hopefully it subsides soon.	1	0	0	0	0	0
That is the only medication I take.	0	0	0	0	0	0
I started taking lexapro to help with depression,I think for me its depression that leads to my anxiety,not the other way around.	0	0	0	0	1	1
But at about 4 weeks, I became fascinated with geology and I could not stop picking up rocks.	0	0	0	0	0	0
Have a support system- family, friends- to help you when you are down.	0	0	0	0	0	0
I get withdrawls on the 2nd day of not taking the medication to the point of being frantic,not lovely.	0	1	0	0	0	0
I wanted to end my life and zoloft really has helped me kick the depression and suicidal thoughts.	0	0	1	0	1	1
Increased sex drive, reduced appetite,neck pain.	1	0	0	0	0	0
When I first starting retaking it, I had no appetite for about 2 months, but that went away.	1	0	0	0	0	0
The doctor put me on Effexor after miscarrying in my 5th month of pregnancy, but did not prescribe any kind of Grief Therapy.	0	0	0	0	0	0
Much better then Zoloft which made me quite suicidal.	0	0	0	0	0	0
it's no better than placebo at treating any mental health condition.	0	0	0	1	0	0
Side effects also getting better.	1	0	0	0	0	0
Consequently, I was placed on anti-depressants to counteract the side effects of pain medication, and also because the constant pain sucked the life out of me.	0	0	0	0	1	1
COLD TURKEY.	0	0	0	0	0	0
Switched to taking it right before bed so will sleep through the tired phase.	0	0	0	0	0	0
I haven't been taking this drug too long and I am stopping because of the dryness it causes in my eyes (swollen) and my scalp (scratching).	1	0	0	0	0	0
Get an old dog, not a puppy, an old dog that Needs you, that you can care for and that will love you back.	0	0	0	0	0	0
After a year or so I realized I didn't have much of a libido anymore and after about 2.5 years on Zoloft I finally changed my medication, but if it wasn't for that side effect, I most likely would have stayed on it.	1	0	0	0	0	0
It's a good first stab at trying an ssri in my opinion.	0	0	0	0	0	0
Everyone needs to know the side effects of coming off of this drug when it is given to them!	0	0	0	0	0	0
being sick all the time .	1	0	0	0	0	0
First week; high, Second week; good mood, headaches, chest pains; third week; break through depression and fatigue, fourth week; still very tired, Doctor upped dose from 10 to 20mg and now I'm dreadfully zombie like.	1	0	0	0	0	0
Has anyone had a similar experience, My doc doesn't seem to know what is going on.	0	0	0	0	0	0
awful awful medication.	0	0	0	0	0	0
ho hum!)	0	0	0	0	0	0
Overall lexapro worked really well for me.	0	0	1	0	0	0
I am currently at 2,5)  I tried going up to 3.  and after 3 days felt like I couldn't stop moving, but was hard to focus so I did things like wash my kitchen floor etc.	1	0	0	0	0	0
Xanax was the godsend to get me through the side effects.	0	0	0	0	0	0
I also had dizziness and exhaustion, but those went away in a couple of days.	1	0	0	0	0	0
The first week, I went from 60mg to 30mg - I almost divorced my husband of 8 years.	0	1	0	0	0	0
Brain zaps constantly, the shakes, sweating, nightmares, anxiety, muscle spasms, and crying spells, Don't take effexor its not worth the risk of a horrible withdrawal.	0	1	0	0	0	0
"tired all the time, no sex drive, unable to reach orgasm, didn't care about a thing, And, if you think the side effects are hell, just wait until you try and go off it,  OMG, the nightmares, the insane DIZZINESS, the brain ""SHOCKS"" ."	1	1	0	0	0	0
If it were not for Effexor XR (300 mgs) and Lamictal (75 mgs) I would not have been able to focus and stay on task in finishing my bachelor's degree.	0	0	1	0	0	0
It worked at 10mg, but only relieved about 50% of a very severe depression.	0	0	1	1	1	1
I was kicked up to 60 mg starting week 2)  I felt much better, although not completely better.	0	0	1	0	0	0
I was taken off Zoloft and put on Seroquel.	0	0	0	0	0	0
I noticed a major improvement in my depression after 2 weeks.	0	0	1	0	1	1
Currently 50mg Zoloft and 125mg Trazadone.	0	0	0	0	0	0
I tried Celexa at one point but it caused memory problems right away.	0	0	0	0	0	0
I realize this will not be the same for everyone, but it has worked very effectivley for me for some years now.	0	0	1	0	0	0
its took the edge off i dont have panic attacks really anymore but i still cant sleep at night and i still get very nervous when its unessecarymaybe a dosage increase is needed but i was on zoloft a few years ago and it made me feel like a zombie so in comparison its alot better i hope things work out.	0	0	1	0	0	0
weight gain mostly and i think my dose is too high, when i was first put on it it was just 75mg and i have gradually increased it to 300mg sometimes - now i think this high dose has caused me to have an excessive appetitte.	1	0	0	0	0	0
I am really, really shaky, nervous, a bit tense and I feel like I am having heart palpitations.	1	0	0	0	0	0
constipation, fatigue, weight gain, blocked tears and sad feelings that still existed inside of me.	1	0	0	1	1	1
I resisted taking this medicine at first, but decided it was for the best when my depression and anxiety started getting in the way of my functioning normally.	0	0	0	0	1	1
None others.	0	0	0	0	0	0
I take citalopram which is genaric for lexapro.	0	0	0	0	0	0
weight gain and jaw clenching.	1	0	0	0	0	0
"5'3"" - was 125 now 100 even."	0	0	0	0	0	0
only problem so far is vertigo.	0	1	0	0	0	0
The first month is rough, but it passes, it surely isnt worse then being scared of being in the kitchen because the knives are sharp.	0	0	0	0	1	0
"I got the ""brain zaps"" that other people have mentioned."	1	0	0	0	0	0
This drug works fast and worked great for me!	0	0	1	0	0	0
I was worried about coming off it so I timed it so I had a week booked off work for it.	0	0	0	0	0	0
This is the only SSRI that didn't give me gastric side effects.	0	0	0	0	0	0
"As everyone knows, you have to give the drug about a month before you decide you might cycle off it; people who decide after a week that ""it's not for them"" are really not using the drug correctly."	0	0	0	0	0	0
So far its been one week, and I have been cutting down the doses accordingly, and I am having terrible dreams, am really dizzy and wake up sweating in bed.	0	1	0	0	0	0
Really I only wash my hands like 100x a day now.	0	0	0	0	1	0
com to help and it is still terrible.	0	0	0	0	0	0
Then after a few months, more serious effects that I now believe were from the Lexapro started, like all-over itching and severe middle back pain, especially at night and upon waking in AM.	1	0	0	0	0	0
I was completely depleted of all energy.	1	0	0	0	0	0
Didn't cry at my own sister's funeral!	1	0	0	0	0	0
im worried, i can't go on like this for long	0	0	0	0	0	0
Not like some of the others.	0	0	0	0	0	0
initially, I was very tired for the first few weeks; no side effects after that.	1	0	0	0	0	0
I have gradually incrased dosages and now I take 200mg/day.	0	0	0	0	0	0
Constipation was awful with a large weight gain that put me out of all clothes save sweats.	1	0	0	0	0	0
At first it was ok, and then once i got on the 75 mg a day, it really changed, nausea feeling, hadache, no sex drive.	1	0	1	0	0	0
I eventually struggled with whether it was withdrawal or the original problem, but then at my lowest point I decided to take 12.5mg and within two hours EVERY problem went away.	0	1	0	0	0	0
"I suffered a ""shredding"" of my personality; paranoia to the point of being unable to leave the house; panic attacks; sensory acuteness which made normal life impossible for both me and my poor husband."	0	1	0	0	0	0
I wish I had never taken it.	0	0	0	0	0	0
had been terribly tired for months.	1	0	0	0	1	0
I love Zoloft because of the very few side effects and its effectiveness in treating my anxiety and depression.	1	0	1	0	1	1
was fine for the first month, but now I am experiencing severe joint discomfort in my wrists.	1	0	0	0	0	0
I was wondering if anyone else has experienced the bruising and terrible joint pain.	1	0	0	0	0	0
I miss orgasms, but I like the person I am now a lot better than I was.	1	0	1	0	0	0
I feel like i have found my light at the end of the tunnel.	0	0	1	0	0	0
I couldn't take Effexor XR which is extended release.	0	0	0	0	0	0
The first 2 weeks I had a headache, I couldn't stop grinding my teeth and I was a little restless but it all went away.	1	0	0	0	0	0
- Most people don't start on 20mg, it was an emergency.	0	0	0	0	0	0
Let me tell you, _do your research first_.	0	0	0	0	0	0
Do NOT take this drug if you have a history of migraines or TMJ .	0	0	0	0	0	0
It is suppose to be not addictive but it has all the side effects of an addictive drug.	0	1	0	0	0	0
I was near 300 mg a day, and made the decision about a week ago to discontinue this drug, it was not worth all the side effects.	0	0	0	0	0	0
I like the overall way I feel - not too pumped up but not depressed, but the lack of sleep has led me to yet another failed medication.	0	0	1	0	1	1
This drug has helped me greatly.	0	0	1	0	0	0
I used to take Ativan for anxiety, but that made me absent-minded.	0	0	0	0	1	1
Gradually over 3 hrs the heavy dark shroud of miserable depression began to fall away.	0	0	1	0	1	1
"I was experiencing panic attacks and depression that was making me unable to come out of my room because I was to worried about what ""would happen""."	0	0	0	0	1	0
took Concerta with it 4 months then discontinued for overstimulation/insomnia.	0	0	0	0	0	0
Constipation was a problem for a few weeks as well.	1	0	0	0	0	0
This stuff is like rat poison!	0	0	0	0	0	0
This medication is supposedly supposed to help with anxiety, but for me, I have to take a second medication for that.	0	0	1	0	1	1
Go for a run at the park - it feels great!	0	0	0	0	0	0
I initially had exacerbation of restless legs, which went away over time as I adjusted to Cymbalta.	1	0	0	0	0	0
No longer on an emotional rollercoaster.	0	0	1	0	1	1
Emotionally numb, wasn't happy or sad.	1	0	0	0	0	0
For me this had the lowest side effect profile of any medication I have ever had.	1	0	0	0	0	0
Right now I have nothing to complain about with respect to this drug.	0	0	0	0	0	0
I was given zoloft from my pyschiatrist and started at 50mg per day and was steadily increased to 100mg.	0	0	0	0	0	0
but 4 days without suddenly and i'm all over these boards looking for withdrawal symptoms!	0	0	0	0	0	0
I do highly recommend this drug, but everyone is different.	0	0	0	0	0	0
Immediately gave relief of peace, loss of depression, no more sadness, and overall terrible body pain disappeared.	0	0	1	0	1	1
don't know if my problems were because I wasn't depressed (I was misdiagnosed with depression when my problems were Claritin side effects).	0	0	0	0	1	0
Instead my doctor has added Prozac, 10mg I can't offer any feedback on that yet, because today is the first day I have taken it.	0	0	0	0	0	0
After the third day on 30 mg of this drug I felt like I was in a fog.	1	0	0	0	0	0
i have stopped taking sertraline for 4 days now and the side effects haven't worn off yet.	1	0	0	0	0	0
However, now, they don't occur.	0	0	0	0	0	0
I am E-Free for over 2 years now and just getting my ful	0	0	0	0	0	0
It could be a coincidence.	0	0	0	0	0	0
Very pleased with Lexapro.	0	0	1	0	0	0
vivid dreams, nightmares, night sweats,loss of libido and ability to orgasm, constipation, occational brain zaps, weight loss then a ton of weight gain.	1	0	0	0	0	0
should I up the dose or go off it?	0	0	0	0	0	0
I was taking 10 mg. After a lifetime of perfect dental checkups and having beautiful teeth, I now have 50 percent bone loss in my jaw because of the teeth grinding.	1	0	0	0	0	0
My doctor and I just realized that my weight gain might be from the Zoloft.	0	0	0	0	0	0
Nothing else has ever relieved it.	0	0	0	0	0	0
agitation; hostility; suicidial thoughts; increased pain; increased depression; muscle spasams in legs and feet; dry eye; increased blood pressure; heart palpitations; increased anxiety, etc Switched to Cymbalta because of claims that it helps with pain.	1	0	0	1	1	1
I was prescribed Cymbalta as a possible alternative to Klonopin, which I have taken for over ten years.	0	0	0	0	0	0
My anxiety levels are down,I'm calm,mental clutter is gone,sleeping better.	0	0	1	0	1	1
lower libido than usual.	1	0	0	0	0	0
Dry Mouth, chronic forgetfulness, a mental 'haze', it feels like I am peeing every liquid out of my body.	1	0	0	0	0	0
I hated reaching out for help,but I realized I did not want to live my whole life being as miserable as her,and wait until 84 to get help.	0	0	0	0	0	0
However, I have tried to taper and quit several times and CAN'T.	0	1	0	0	0	0
When I don't take it, (if I miss my dose) I have difficulty sleeping.	0	1	0	0	0	0
had Insomnia so i took benadryl.	1	0	0	0	0	0
I only take it now when I am having a particularly BAD day (suicidal).	0	0	0	0	1	1
"I took Lexapro together with Wellbutrin to ""correct"" concurrent depression and anxiety."	0	0	0	0	1	1
My vertigo has not responded to conservative treatment thus far.	1	0	0	0	0	0
withdrawal is HORRIBLE!	0	1	0	0	0	0
Not a good experience at all for me.	0	0	0	0	0	0
Then i had to increase the dosage (up from 50 mg).	0	0	0	0	0	0
I didn't truly feel, or really care about things I had a passion for.	1	0	0	0	0	0
I've lost weight, and feel all my emotions, but don't get into negative spirals anymore.	0	0	1	0	0	0
Does not happen much and is not noticable.	0	0	0	0	0	0
I've always had somewhat of a sweet tooth, but now I crave peanut butter cups with a vengance- it is the only thing that still tastes good to me, But, I am also eating like crazy.	1	0	0	0	0	0
If you can deal with the initial side effects, which seem to subside, this drug is worth it.	1	0	0	0	0	0
Decreased sex drive and ejaculation delay.	1	0	0	0	0	0
Cymbalta has the same adverse side effects of the other SSRI medications and then some.	1	0	0	0	0	0
This has subsided after a month or so, Constipation .	1	0	0	0	0	0
I really like this drug but am trying to decide if I can put up with the itching. 	1	0	0	0	0	0
I didnt take cymbalta for long because it was turning me into a worse basket case than I already was.	0	0	0	0	0	0
It took months to settle in with this drug but it was so worth it.	0	0	1	0	0	0
dry mouth, sweating. 	1	0	0	0	0	0
God bless	0	0	0	0	0	0
I lost weight considerably and shook all the time.	1	0	0	0	0	0
I HAVE TAKEN THESE MEDS FOR ABOUT 13 YEARS UNTIL I STARTED HAVING LEG ACHES AT NIGHT.	0	0	0	0	0	0
One is forever changed and cannot function as expected without the drug.	0	0	0	0	0	0
Decreased sex drive.	1	0	0	0	0	0
I think the Lexapro helps a lot but it seems like something is still lacking in my mental/emotional state.	0	0	1	1	0	0
At the moment I can say that I felt better on 100mg.	0	0	1	0	0	0
I sweat so profusely that it has become embarrassing.	1	0	0	0	0	0
Some of the other meds I take also effects and raises serotonin levels so that may make a difference.	0	0	0	0	0	0
so have a med for that.	0	0	0	0	0	0
didn't notice much difference until 75 mg- where i completely freaked out.	1	0	0	0	0	0
I can finally be me.	0	0	1	0	0	0
hot sweats, regular powerful muscle aches, loss of sexual libdo, 40 lbs weight gain.	1	0	0	0	0	0
The amount of side effects sure made life even less fun than it already was.	1	0	0	0	0	0
No discernible effect on the depression after 8 weeks at recommended therapeutic dosage of 60 mg/day, at which point we decided that due to the already-present undesirable side effects, it would be a bad idea to try increasing the dose further.	1	0	0	1	1	1
Would rather be happy and not having sex than psychotic.	0	0	1	0	0	0
I had pretty mild side effects at first, nothing severe enough to make me want to quit taking it and nothing out of the ordinary.	1	0	0	0	0	0
"first day or two- felt ""out of it"", extreme fatigue, Currently (3 wks), I am having bruising, hair loss, fatigue, can't sleep through the night, increased anxiety when I wake, jaw clenching, and difficulty having orgasm."	1	0	0	0	1	0
Constant yawning,severe tremors,headache, lost all sex drive the first day, couldn't orgasm if I tried, terrible jaw clenching, helped somewhat with social anxiety, but general anxiety got worse, panic attacks increased,.	1	0	1	1	1	1
I have only taken cymbalta twice and am going to stop now before my symptoms get worse.	0	0	0	1	0	0
It left me just as sad, only bigger and full of poop.	1	0	0	1	0	0
After a year and now on 225 mg I am sweating like crazy all the time, I get tingles in my hands and if I miss a dose I get dizzy and foggy and brain shivers.	1	1	0	0	0	0
The loss of appetite and weight loss was one of the main side effects I had, I am already underweight, and losing weight isn't good for me	1	0	0	0	0	0
Mild sleeplessness, unsatisfying yawns that went away after a month or so.	1	0	0	0	0	0
Emotionally numb.	1	0	0	0	0	0
I also have had a lot of gas and some constipation.	1	0	0	0	0	0
-it didn't work for me, but i am bipolar.	0	0	0	1	1	0
Not sure which way to go now.	0	0	0	0	0	0
All drugs effect people differently.	0	0	0	0	0	0
If I get depressed now, it is a legitimate reason.	0	0	0	0	0	0
However, I gained 25 pounds on it and this just fueled my depression even more since I was close to being overweight before going on it.	1	0	0	1	1	1
oh gawd.	0	0	0	0	0	0
The initial side effects are terrifying but thankfully past experience told me to	1	0	0	0	0	0
Initially had some sexual problems, but remedied that by taking it at night before bed (and after sexual activity) so that the level of the drug would be at its lowest point in the evenings.	1	0	0	0	0	0
2nd time on med in 1999 it seemed to not even touch my anxiety/depression.	0	0	0	1	1	1
On top of that I cant sleep without a trazdone or ambien pill and when I get home from work	1	0	0	0	0	0
If life was better off the meds than perhaps you didn't need them as bad as others do.	0	0	0	0	0	0
As of last Sunday I don't take the cymbalta any longer.	0	0	0	0	0	0
My weight at 140 lbs made me sad.	1	0	0	0	0	0
The worst side affect is that it takes a long time to achieve orgasm if I can at all.	1	0	0	0	0	0
led to prescriptions for other meds .	0	0	0	0	0	0
Quit counting yesterday at 100 by lunch time.	0	0	0	0	0	0
Doc said that should reverse within a month.	0	0	0	0	0	0
However, the side effects are awful, but to me it's worth it because after trying Lexapro, Wellbutrin, and Zoloft, this is the only thing that makes me feel better.	1	0	1	0	0	0
after i got used to it 150mg was great.	0	0	1	0	0	0
I wish i never started taking them	0	0	0	0	0	0
Teeth Clenching, Insomnia at night and exhaustion durring the day.	1	0	0	0	0	0
Felt a bit sluggish, but after a month or so on the 150mg dose, have overcome that side effect.	1	0	0	0	0	0
I stopped taking Zoloft because I was still having several months out of the year when I felt like it wasn't helping - I had no motivation and just wanted to sleep all day.	1	0	0	1	1	1
I literally was out of control.	0	1	0	0	0	0
Sweating, clenched jaw, teeth grinding, sleep disorder (fall asleep quickly, sometime insomnia, Nausea.	1	0	0	0	0	0
I have been on it now for five weeks and feel great.	0	0	1	0	0	0
Despite the side effects, I have found Zoloft helpful in keeping my moods moderated, especially when I feel low (though, on the other hand, I also don't really ever feel extremely happy on it either).	0	0	1	0	1	1
So 40 seems to work best for me.	0	0	1	0	0	0
I am only on 50mg but my insomnia is gone, my anxiety is under control, and I get depressed less often.	0	0	1	0	1	1
I also think Lexapro and alcohol were a bad mix for me.	1	0	0	0	0	0
Taking cymbalta was the worse day of my life!  	0	0	0	0	0	0
When I get eight hours.	0	0	0	0	0	0
Ill make another rating in a month, hope this helps someone	0	0	0	0	0	0
I know it's hard.	0	0	0	0	0	0
It was a relief.	0	0	1	0	0	0
working well i am 100 times better with people.	0	0	1	0	0	0
don't experience side affects while on Cymbalta but when I am off.	0	1	0	0	0	0
it feels like someone else is in your body.	0	1	0	0	0	0
Low sex drive and trouble ejaculating.	1	0	0	0	0	0
I can't concentrate well,foggy thoughts,poor memory,and don't want to socialize much.	1	0	0	0	0	0
Weight gain, fuzzy head.	1	0	0	0	0	0
I'm going to continue taking it in hopes that I will see improvement over the next 3 to 4 weeks.	0	0	0	0	0	0
sleeping a lot, low energy, sometimes hungry sometimes not, jaw grinding quite a bit, feeling ok then really down unexpectedly, sometimes not able to sleep until 4am, not much feeling down below, want to express myself and cry but can't, dry mouth sometimes, cigarettes don't taste as good, alchohol cravings sometimes, zombie like feeling but this improved on taking med at night.	1	0	0	0	0	0
I was very depressed and felt as if I was always disoriented.	0	0	0	0	1	0
Bad Drug!	0	0	0	0	0	0
After 2 weeks, the side effects went away, and the medication is fantastic.	1	0	1	0	0	0
No bad side effects.	0	0	0	0	0	0
I've lost weight, increased activity, done better at work and get out and do things.	0	0	1	0	0	0
After that came a week or two of nail biting and jitters (like when you drink a quad shot of Starbucks coffee) No negative sexual side effect - delayed ejaculation like every one else.	1	0	0	0	0	0
no over the counter facial lotions washes worked. 	0	0	0	0	0	0
I realized I had a chemical inbalance and once zoloft began working for me I was able to get a full nights sleep without waking up feeling like I was spinning or experiencing some kind of psychosis.	0	0	1	0	0	0
I love it.	0	0	1	0	0	0
Total loss of libido, horrific nightmares, insomnia, weight fluctuations, irritability/angry all the time.	1	0	0	0	0	0
I tapered down from 75mg very carefully and slowly.	0	0	0	0	0	0
Sleepless nights also with vivid dreams in the first week as well.	1	0	0	0	0	0
The increased sexual pleasure only lasted for a couple weaks.	0	0	0	0	0	0
After other patients' ratings and experiences, I learned about Trazadone, I started to sleep, complete with vivid detailed dreams.	0	0	0	0	0	0
I've taken it so long- 14 yrs- that today I cannot name any undesirable side-effects.	0	0	0	0	0	0
I take a low dose of klonapin for that.	0	0	0	0	0	0
I found if I took a year off the Zoloft, it would work again later so that's what I do.	0	0	0	0	0	0
Initially, lose of appetite, sweating, dry mouth, constipation.	1	0	0	0	0	0
I also have Chronic Fatigue Syndrome so my Dr. was hoping it would lift my depression and help me to regulate my sleep cycle and get up earlier in the morning.	0	0	0	0	1	1
Cymbalta lifted my mood more.	0	0	1	0	0	0
none. 	0	0	0	0	0	0
Unlike the other people on here, I haven't really experienced that many side effects, or really any that are any sort of bother to me.	1	0	0	0	0	0
You should start with a smaller dose and work your way up to avoid more profound side effects.	0	0	0	0	0	0
Night Sweats, decreased sex drive, headaches, weight gain, fatigue, jaw clenching.	1	0	0	0	0	0
I have no idea when this will end.	0	0	0	0	0	0
They are extreme and debilitating.	0	0	0	0	0	0
 Have been on it 12 days, along with 60 mg prozac (4+ years on that).	0	0	0	0	0	0
