sentences	ADR	WD	EF	INF	SSI	DI
It didn't help me out, at all.	0	0	0	1	0	0
My anxiety is worse than before, and I've been getting more and more dizzy by the week .	1	0	0	1	1	1
the last three weeks I haven't been able to watch TV since it makes me feel nauseus, and I haven't been outside in two weeks due to the dizziness!	1	0	0	0	0	0
The last week or two I've been feeling nausea all day, mostly due to the dizziness, Everyone's different though, and you should probably give it a try, others are having luck.	1	0	0	0	0	0
I'm tapering it off now, though.	0	0	0	0	0	0
Chronic cough, weight gain, no sexual interest.	1	0	0	0	0	0
Emergency Room visit with tachycardia and violent vertigo.	1	0	0	0	0	0
I would not suggest taking this medication.	0	0	0	0	0	0
I did experience relief of my depression initially with the 10mg per day dose.	0	0	0	1	1	1
That quickly turned into a three week period of sleep.	1	0	0	0	0	0
I was unable to hold my body vertical.	1	0	0	0	0	0
Slept through life and gained weight.	1	0	0	0	0	0
The feeling of wellness is gone.	0	0	0	1	0	0
Phoned the doctor to report the symptoms; the dose was then increased to 20mg per day.	0	0	0	0	0	0
After the third day at that dose I found myself in the ER with vertigo, dizziness, tachycardia, dry mouth, nausea, and a host of other complaints.	1	0	0	0	0	0
After following up with the doctor who prescribed the lexapro, he did not discontinue the drug, just decreased it to 5mg per day.	0	0	0	0	0	0
The vertigo is rendering me unable to function in daily life causing me to lose work.	1	0	0	0	0	0
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.	1	0	0	0	0	0
My vertigo has not responded to conservative treatment thus far.	1	0	0	0	0	0
I am tapering off the drug as I type this, 5mg every other day now and m	0	0	0	0	0	0
Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.	1	0	0	0	0	0
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.	1	0	0	0	0	0
If you have any of the symptoms above, contact your physician immediately.	0	0	0	0	0	0
These could be dangerous.	0	0	0	0	0	0
I DO NOT RECOMMEND THIS DRUG.	0	0	0	0	0	0
I'm sorry this is more about not taking it than about side effects of taking it.	1	0	0	0	0	0
"I was given samples today and took one dose before coming to this site, where I learned that insomnia and decreased libido are serious side effects for many people; these are already major, major issues for me, By now, the first feelings of ""tightness"" in my head, dry mouth, and a little bit of jitters have begun."	1	0	0	0	0	0
As a result surely of prior conditions, but I do feel in part because of the drug or its jittery side effects, I've been unable to stop weeping for the past hour.	1	0	0	0	0	0
I will probably not have the wherewithal to take another dose.	0	0	0	0	0	0
I once took Effexor for 3 years and had trouble getting off of it, one real struggle and then one ok tapering experience finally.	0	0	0	0	0	0
I can't imagine going through the withdrawal again, either, so I think I will run scared from this prescription for a while longer, o	0	1	0	0	0	0
Extreme Weight Gain 30 pounds.	1	0	0	0	0	0
Excessive perspiration, Erectile dysfunction.	1	0	0	0	0	0
Almost no libido at all, Utterly useless.	1	0	0	0	0	0
Took a while to have an effect on mood obviously,but side-effects alarming:sudden migraines which I had had very infrequently before.	1	0	1	0	0	0
Very big increase in blood pressure which I had never experienced before.	1	0	0	0	0	0
Have your blood pressure checked even if like me, you have never had a problem with it you may be in for a nasty surprise!	1	0	0	0	0	0
Heavy sedation, Jaw Clenching, Inability to organism.	1	0	0	0	0	0
Tired it four months.	0	0	0	0	0	0
Very bad side effects.	1	0	0	0	0	0
Did not have a good experience.	0	0	0	0	0	0
Would not take again.	0	0	0	0	0	0
emotionless, Zombie effect.	1	0	0	0	0	0
Loss of memory.	1	0	0	0	0	0
"When i took lexapro i walked around in a ""zombie"" like state because i would never be happy about anything, but never really sad."	1	0	0	0	0	0
I just kind of felt numb toward all emotion, Also, my memory started lacking and i couldnt remember long periods of time or things i had done.	1	0	0	0	0	0
i still have difficulty remembering most of that year and for no particular reason.	1	0	0	0	0	0
Jaw jacking/clenching teeth, headaches, vomitting, waking up in the middle of the night for hours, increase in anxiety, blurred vision.	1	0	0	0	1	0
I started feeling the side effects the fist day i took 10mg.	1	0	0	0	0	0
Crazy dreams and visions, slight insomnia, my teeth are killing me from grinding them and I guess that caused my headaches.	1	0	0	0	0	0
Can hardly even read and feel like I'm in a fog or that I'm stoned.	1	0	0	0	0	0
Clumsy and at first gave me tons of energy but I think that was the increased anxiety.	1	0	1	1	1	1
About four hours after my dose it's like I went downhill, my head got very heavy, and that was the foggy state.	1	0	0	0	0	0
I haven't noticed any positive changes and the side effects are horrible.	1	0	0	1	0	0
The increase in anxiety has made me stop taking this pill.	1	0	0	1	1	1
Xanax or something would do me much better with the Effexor that I am already taking.	0	0	0	0	0	0
Fatigue, dizziness, apathy, muscle jerks, jaw clenching, interfered with Thyroid replacement medicine, insomnia.	1	0	0	0	0	0
I'm surprised that there were any positive ratings.	0	0	0	0	0	0
I took this for two months, hoping that the side effects would ease.	1	0	0	0	0	0
Most had except for the apathy and fatigue .	0	0	0	0	0	0
just wouldn't go away.	0	0	0	0	0	0
Doctors did not tell me that I needed to increase my Thyroid medicine as recommended by the manufacturer of the thyroid medicine.	0	0	0	0	0	0
I became more tired, cold and weak after about 6 weeks so I had to discontinue.	1	0	0	0	0	0
The withdrawal process has been very difficult.	0	1	0	0	0	0
It apparently doesn't take a long time for this medicine to build up toxic levels in your blood and liver as well as affecting your brain.	0	0	0	0	0	0
Even though I tapered down in 1/4 pill increments, the worst withdrawal symptoms happened to me after I completely stopped, Dizziness, headaches, neck pain as well as muscle stiffness throughout the body are main complaints.	0	1	0	0	0	0
Why is this product legal?	0	0	0	0	0	0
Insomnia, tension, somnolence, loss of memory, jaw movements.	1	0	0	0	0	0
Today is my first day of from the medication after my doctor took it away, I feel human again!	0	0	0	1	0	0
Got fat, hated life.	1	0	0	0	0	0
Was so much better once I went off after 10 months and did it cold turkey with NO negative effects.	0	0	0	0	0	0
Felt almost euphoria going off it.	0	0	0	0	0	0
Never again with that drug.	0	0	0	0	0	0
That stuff is poison.	0	0	0	0	0	0
Avoid at all costs and explore other options.	0	0	0	0	0	0
night sweats, major mood swings and moment of over excitement combined with rudeness.	1	0	0	0	0	0
head felt completely detached from body and feeling suicidal.	1	0	0	0	0	0
these doctors really must be getting big perks by pushing this crap on people.	0	0	0	0	0	0
i know that drugs have different results with different people.	0	0	0	0	0	0
but too many patients had same discomforts, yes, i had the runs too.	0	0	0	0	0	0
Headaches, Nausea, Fatigue, Interrupted Sleep, Vivid Dreams, Weight Gain.	1	0	0	0	0	0
The side effects were most severe going on and coming off the drug, with all but the headaches and nausea staying with me throughout the entire experience.	0	1	0	0	0	0
There was no improvement in the level of my anxiety, depression, or OCD.	0	0	0	1	1	1
Be very careful with this .	0	0	0	0	0	0
I took it for 3 months believe that its affect on the mind is indirectly linked to the immune system functioning .	0	0	0	0	0	0
if you are an othewise phyically healthy human you may risk compromising the proper functioning of the T-cells which may have UKNOWN consequences, the worst being autoimmunce disease which will make you very sick with flu-like symptoms and unable to get better,please beware.	1	0	0	0	0	0
I would only recommend that suicidal people with absolutely NO HOPE whatsoever take this.	0	0	0	0	0	0
"The risks of such dangerous and hidden physiological side effects are in NO WAY worth the potential positive effects of so-called subjective ""mental stability"" which is merely illusory and masks the hidden danger."	1	0	0	0	0	0
Heart burn.	1	0	0	0	0	0
I had to take a heart burn relief medication each day I took Lexapro.	1	0	0	0	0	0
Will try another anti-depressant medication.	0	0	0	0	0	0
I had pain all over my body!	1	0	0	0	0	0
My legs were the worst and my left leg felt like it was on fire!	1	0	0	0	0	0
It hurt so bad, I ended up in the E,R.	1	0	0	0	0	0
Because I thought that I might have a blood clot.	0	0	0	0	0	0
The doctor told me that it was the Lexapro's side effects.	0	0	0	0	0	0
my arms felt like needles are poking them, Felt like a knife in my shoulder, I got chills easily, felt like my legs were not getting enough circulation, it felt like my blood had carbonation in it!	1	0	0	0	0	0
This is the most awful feeling!	1	0	0	0	0	0
I am still having aches, pains, pins and needles throughout my entire body after being off of the Lexapro for a few days.	1	0	0	0	0	0
I hope and pray it subsides.	0	0	0	0	0	0
Please DO NOT TAKE THIS DRUG!	0	0	0	0	0	0
I would rather have panic attacks and be depressed than take another pill of Lexapro!	0	0	0	0	1	1
Weight gain, HAIR LOSS, increased depression, fatigue, lethargy.	1	0	0	1	1	0
I switched from Cymbalta to Lexapro and after approximately 30 days, I began feeling very bad.	1	0	0	1	0	0
I gained 13 lbs in 6 weeks and could not get out of bed after 60 days.	1	0	0	0	0	0
My hair started falling out by the handful.	1	0	0	0	0	0
I quit cold turkey last week and I feel a lot better today but hair loss continues.	0	0	0	0	0	0
Doc said that should reverse within a month.	0	0	0	0	0	0
Very negative experience.	0	0	0	0	0	0
Reduced cognition, fatigue, addiction.	1	1	0	0	0	0
The med was okay until side effects had negative impacts and it was extremely difficult to get off of.	1	1	1	0	0	0
After becoming addicted to a second Lundbeck med I refuse to ever use one of its products gain.	0	1	0	0	0	0
It might be worth use by others but it is very hard to stop taking it; not a plus.	0	1	0	0	0	0
From the moment I swallowed this pill I experienced a dry mouth and dry eyes.	1	0	0	0	0	0
But more alarming was the sensation of pressure behind my eyes-like they were going to pop out!	1	0	0	0	0	0
Also I had a severe inablility to concentrate which made it impossible to do my job,I am a Registered Nurse.	1	0	0	0	0	0
I also found myself making a bizarre sucking motion with my mouth-possibly from the dryness?	1	0	0	0	0	0
I took myself off this drug and started a strict regimen of exercise and improved my diet which did wonders for my depression and anxiety.	0	0	0	0	1	0
Do not take this drug.	0	0	0	0	0	0
Disturbed sleep, exhaustion, nausea, dizzyness, jaw-clenching and increased anxiety.	1	0	0	1	1	0
I took 5mg for three days and when my Dr. heard what it was doing to me she said to stop it immediately.	0	0	0	0	0	0
It's been four days since I discontinued, and I'm still wiped out and dizzy with flu-like symptoms.	1	0	0	0	0	0
She had suggested I add Lexapro to my Remeron to boost the serotonin effects.	0	0	0	0	0	0
I'll just stick with the Remeron .	0	0	0	0	0	0
so much gentler on my system.	0	0	0	0	0	0
Everyone is different, but for me Lexapro was like some kind of torture device, Can't wait for it to leave my system.	1	0	0	0	0	0
1)  After two to three hours vomit 2)  Stiff muscles (Lack of oxygen?)	1	0	0	0	0	0
3)  Spacey, out of sync with time (as in Where did that tree come from?	1	0	0	0	0	0
What am I doing?)	0	0	0	0	0	0
4)  Weird, (as in How did that tree get there?	1	0	0	0	0	0
), 5)  Weak muscles 6)  Cant catch breath 7)  Listless 8)  Unmotivated 9)  Difficulty getting moving 10)  Reaction time slowed, [as in Put your hand on your solar plexus (Huh?	1	0	0	0	0	0
What?	0	0	0	0	0	0
Hand?)]	0	0	0	0	0	0
11)  Forgetful, stupid (its Sunday, right?)	1	0	0	0	0	0
12)  Depressed (as in Whats the use?).	1	0	0	1	0	0
Works on 30% of the people who take it after eight weeks.	0	0	0	0	0	0
After eight weeks of the above I sincerely doubt that anybody taking lexapro can know which way is up, much less notice a decrease in depression.	0	0	0	1	1	1
suidical feelings.	1	0	0	0	0	0
I took this medication for a month before I started getting extreme suicidal feelings, which I had not had before taking it.	1	0	0	0	0	0
Racing heart, severe anxiety, panic, nausea, speeded-up metabolism.	1	0	0	0	0	0
It was brilliant for 2 weeks, except for some queasiness.	1	0	1	0	0	0
But into the 3rd week I began to wake in the night with very scary heart palpitations.	1	0	0	0	0	0
After a few nights of this (while feeling good during the day), the palpitations and subsequent panic were still there in the morning and continued throughout the day.	1	0	0	0	0	0
I stopped taking it 3 days ago .	0	0	0	0	0	0
in addition to stopping caffeine on doctor's orders .	0	0	0	0	0	0
and I still have occasional heart flutters, a clenched stomach, and the anxiety that goes with that.	1	0	0	0	0	0
I also think Lexapro and alcohol were a bad mix for me.	1	0	0	0	0	0
I'd rather be depressed.	0	0	0	0	1	0
jittery, disconnected feelings, suicidal thoughts, unable to function.	1	0	0	0	0	0
I took one dose of this med and was lucky to be able to drive home from work.	1	0	0	0	0	0
Within the first hour I had to call a friend to come over and sit with me while I waited for the effects to be over (which took hours).	0	0	0	0	0	0
"Worse than the worst ""bad trip"" you can imagine."	0	0	0	0	0	0
Suicidal thoughts when I had NEVER had those thoughts before, Super scary.	1	0	0	0	0	0
I would never take this again, Total poison!	0	0	0	0	0	0
BEWARE!	0	0	0	0	0	0
Insomnia, irregular heartbeat, anxiety times 1000, suicidal depression.	1	0	0	1	0	0
I'm in serious pain right now.	1	0	0	0	0	0
I'm about to go to the hospital cause this drug is killing me.	1	0	0	0	0	0
If I survive I'll write another comment, Please don't take it!	0	0	0	0	0	0
vivid nightmares, sweats, higher anxiety levels, memory problems, concentration problems, teeth grinding and clenching of jaws.	1	0	0	0	0	0
After 1 year of taking this drug, I stopped it cold turkey.	0	0	0	0	0	0
I was taking 10 mg. After a lifetime of perfect dental checkups and having beautiful teeth, I now have 50 percent bone loss in my jaw because of the teeth grinding.	1	0	0	0	0	0
It's signifigant to note that I had been wearing a night guard that was supposed to protect the teeth during this past year.	1	0	0	0	0	0
I see my dentist for regular checkups and cleanings every 4 months, and I get x-rays every year.	0	0	0	0	0	0
My dentist is aghast, Stress and/or anxiety and teeth grinding can cause bone loss.	0	0	0	0	0	0
I was taking Ativan, Ambien, Atenolol and Lexapro for the anxiety and depression and have quit them all cold turkey.	0	0	0	0	1	1
Withdrawal lasted about 2 weeks, but I feel tons better now.	0	1	0	0	0	0
Not worth the side effects.	1	0	0	0	0	0
Constant yawning,severe tremors,headache, lost all sex drive the first day, couldn't orgasm if I tried, terrible jaw clenching, helped somewhat with social anxiety, but general anxiety got worse, panic attacks increased,.	1	0	1	1	1	1
I was given this med by doc along with Wellbutrin.	0	0	0	0	0	0
The sexual side effects were supposed to be countered by the Welly, Didn't happen.	1	0	0	0	0	0
I have not had sex for 6 months which is putting a strain on the relationship.	1	0	0	0	0	0
SO a little annoyed, but she has just gone through menopause and doesn't seem to be in the mood anyway.	0	0	0	0	0	0
I have quit cold turkey about 3 weeks ago hoping some sex drive will come back.	0	0	0	0	0	0
I am feeling some withdrawl now, I cry at anything.	0	1	0	0	0	0
Anxiety is now though the roof, hands feet sweating, and my memory sucks.	0	1	0	0	0	0
I cant tolerate SSRI's so will have to try something else.	0	0	0	0	0	0
dry mouth, severe thirst, hot flashes all over my body, tightness in my chest, severe diahrea, fuzzy mind, freaquent urination, lost 25 pounds in two weeks, muscle aches, flu like symptons, stomach cramps and tiredness.	1	0	0	0	0	0
i experienced all these symptoms after just one 10mg pill and still sufering the side effects two weeks later.	1	0	0	0	0	0
i would not recomend anyone take this medication for any reason.	0	0	0	0	0	0
it's too dangerous, unless you have a doctor who will listen to you.	0	0	0	0	0	0
I HATED THIS PRODUCT.	0	0	0	0	0	0
i took the 10 mg once and a right now a week and a half later.	0	0	0	0	0	0
i have noticed increases in my headaches, the front of my brain burns and i've noticed an increase in suicidal thoughts and anxiety.	1	0	0	1	1	1
I would not recommend taking this at all.	0	0	0	0	0	0
i wouldn't wish this on my worst enemy.	0	0	0	0	0	0
God help me, DON'T TAKE IT.	0	0	0	0	0	0
extreme lethargy; hungry more than usual; weight gain; zero motivation; memory issues (short term memory negatively affected); hopeless; social anxiety magnified.	1	0	0	1	1	1
I took 10 mg for one month and mainly noticed the fatigue as the biggest side effect, once I was upped to 20 mg though all of the other side effects seemed to take hold of my life.	1	0	0	0	0	0
Not a good experience at all for me.	0	0	0	0	0	0
I didn't take Lexapro long enough to evaluate it for its intended purpose, because I found the sexual side effects intolerable.	1	0	0	0	0	0
I not only lost the ability to orgasm, but stopped having even the slightest feelings of arousal.	1	0	0	0	0	0
Near the end of the two weeks I could feel my frustration as a sort of dull, heavy ache in my stomach, but I couldn't do anything about it because I was basically numb, a nonsexual being.	1	0	0	0	0	0
It was frankly disturbing, and I think going off the drug and feeling healthy and whole again has done more for my depression than any medication ever has.	0	0	0	0	1	1
I've heard great things about what this drug can do for depression, but the side effects are a real possibility.	1	0	0	0	1	1
Just make sure you consider whether or not they are worth it for you.	0	0	0	0	0	0
Increased anxiety, SERIOUS constipation (for which even laxatives and epsom salts barely helped) and stomach cramping, my stomach hurt all the time, disturbed sleep and trouble falling asleep, fatigue, headaches.	1	0	0	1	1	0
Had worsened depression and suicidal thoughts after going off this med- don't know if it's due to the Lexapro or my cycle of depression, just seems worth noting.	0	1	0	1	1	1
I couldn't get past the side effects- have no idea if it would've worked for me.	1	0	0	1	0	0
suicidal thoughts, mood swings, difficulty to concentrate.	1	0	0	0	0	0
I advice people go to this webcite ( the link was removed because of privacy protection)  and see what TAAT can do.	0	0	0	0	0	0
GAINED ONE POUND A WEEK for six months, Yep, 30 POUNDS.	1	0	0	0	0	0
Been off of it for eight months, now bigger, have high BP and pre-diabetes because of the weight gain.	1	0	0	0	0	0
I want to sue.	0	0	0	0	0	0
Before I got any fatter, I stopped taking it and my metabolism is MESSED UP.	1	0	0	0	0	0
I eat so much less than I used to, and still can't seem to lose the weight I gained while on Lexapro.	1	0	0	0	0	0
I'd rather be normal sized and anxious than overweight, taking BP meds and insulin medication!	1	0	0	0	1	0
Lack of care for anything important in my life.	1	0	0	0	0	0
Lack of feeling for anything, just lived day by day.	1	0	0	0	0	0
Inability to Ejaculate during sex.	1	0	0	0	0	0
Compared to previous medication I was taking, Lexapro did in fact take away my physical pain I was suffering, but has caused so much more in emotional pain.	1	0	0	0	1	1
"Nausea (for about 1 week), headaches, brain ""zaps"" occasionally, extreme sleepiness, vivid dreams, loss of sex drive."	1	0	0	0	0	0
After being on Wellbutrin for about 6 months with good results, I went off medication altogether, Unfortunately, my depression returned with a vengeance after about 7 months.	0	0	0	0	1	1
Went back to see a therapist.	0	0	0	0	0	0
Still not too helpful.	0	0	0	0	0	0
Went to see my Doc, was put on Lexapro 10mg.	0	0	0	0	0	0
Some good results.	0	0	1	0	0	0
Went to 20mg after some really tough life circumstances, Side-effects were unmanageable!	1	0	0	0	0	0
Went back down to 10mg after 1 week on the higher dose.	0	0	0	0	0	0
After 3 months on Lexapro and therapy, I will be switching to something else .	0	0	0	0	0	0
perhaps Wellbutrin again?	0	0	0	0	0	0
*BOTTOM LINE: you DON'T have to suffer through your depression, GET HELP!	0	0	0	0	0	0
The most important thing you can do is see a therapist.	0	0	0	0	0	0
Drugs are only a secondary issue.	0	0	0	0	0	0
If you do need drugs, be sure to closely work with your Doc, report side-effects promptly, etc, Don't give up on yourself.	0	0	0	0	0	0
Possible loss of libido.	1	0	0	0	0	0
This medication has done absolutely NOTHING for me.	0	0	0	1	0	0
I am so glad to be off of it.	0	0	0	0	0	0
I started at 5 mg, went up to 10 mg, 15, 20, 30, and even to 40 mg!	0	0	0	0	0	0
At that dosage I was so tired and irritable.	1	0	0	0	0	0
I do not see the point of taking Lexapro-type SSRI's for anxiety, which was my primary issue for taking it.	0	0	0	1	1	1
I do not think Lexapro gave me any seriously adverse side effects.	1	0	0	0	0	0
it just didn't help with the anxious and depressive symptoms.	0	0	0	1	1	1
it may as well have been a sugar pill.	0	0	0	1	0	0
"nausea, dizziness, spaciness, lack of coordination, massive headache in morning that lasts all day, feeling generally ""hungover"", lack of energy/motivation, dry mouth, jaw clenching, Dr. prescribed this to ""give me a better outlook, engergy, and be able to face the day"" because of depression related to death of parents/divorce/job cut/ and resulting overwhelming responsibilities related to those factors."	1	0	0	0	1	1
I had a previous bad experience with Zoloft 10 yrs ago when a dr. misdiagnosed my hypothryroidism for depresssion instead.	0	0	0	0	1	1
Was deadly sick for 2 wks and he kept me on it regardless, upped the dosage three times over a year because it wasn't working (duh, it was my thyroid!)	0	0	0	0	0	0
That dr, is history, btw!	0	0	0	0	0	0
This time, I was very leary of taking anything, Lexapro, this doc said has 'no side effects, the gentlest of meds, no addiction, no sexual side effects, etc).	0	0	0	0	0	0
I disagree.	0	0	0	0	0	0
I waited until the weekend to start, just in case problems arise, glad I did.	0	0	0	0	0	0
Took Fri afternoon, nauseous and dizzy immediately, spaced out, went to bed for 2 hrs, got up, couldn't even make dinner, stumbling/spacey.	1	0	0	0	0	0
Next day worthless and in a fog, bad headache.	1	0	0	0	0	0
I waited and took the 2nd dose in evening after dinner so wouldn't have to deal with nausea/dizzy.	0	0	0	0	0	0
Woke up with massive headache, felt like hit by truck, hungover-like.	1	0	0	0	0	0
Got nothing done all day.	1	0	0	0	0	0
Took 3rd dose again Sunday 10 pm before bed, and didn't get up until noon today (Mon).	0	0	0	0	0	0
Called in sick.	1	0	0	0	0	0
Headache still and completely useless, Coffee & tylenol so far- not helping much.	1	0	0	1	0	0
Still in fog as I type this.	1	0	0	0	0	0
Not sure if I want to continue.	0	0	0	0	0	0
I have been losing handfuls of hair every time I brush, wash or run my fingers through it.	1	0	0	0	0	0
I now have to brush my hair outside by the trashcan and I only wash it twice a week.	0	0	0	0	0	0
I've become more depressed about this and cry every day.	1	0	0	1	1	1
I am also so fatigued that I am sleeping several times during the day, as well as 8-9 hours at night.	1	0	0	0	0	0
One month ago at my doctor's appointment, he said that hair loss is not a side effect and to continue the Lexapro.	0	0	0	0	0	0
My research finds that many people suffer this side effect.	0	0	0	0	0	0
I have stopped taking this medication.	0	0	0	0	0	0
Wow this stuff is strong, i took the first 10mg today, and can't focus, i'm totally apathetic.	1	0	0	0	0	0
This lexapro works too much like a neuroleptic.	0	0	0	0	0	0
i hate feeling out of control, detached.	1	0	0	0	0	0
I would rather be depressed than totally anihilated !	1	0	0	0	1	0
Never again.	0	0	0	0	0	0
No sex drive, dull mood.	1	0	0	0	0	0
Generally felt pretty dull and had no sex drive whatsoever.	1	0	0	0	0	0
I don't wanna be sad but does life really have to be that boring?	0	0	0	0	1	0
I drank a lot while on this drug and it made me act kinda crazy.	1	0	0	0	0	0
I know your not suppose to drink when on these meds, but I honestly feel the dull boring mood this drug created for me drove me to.	1	0	0	0	0	0
Prior to taking this medication I was not much of a drinker, and now that Im off it I'm not either.	0	0	0	0	0	0
weight gain, 	1	0	0	0	0	0
Dry mouth in the beginning, decreased sex drive, Didn't do a thing for me, even at the highest dose.	1	0	0	1	0	0
Stomach is in knots, tension in the front part of my head, shakiness, blurred vision.	1	0	0	0	0	0
I took 10mg for the first time last night before bed and I could barely sleep.	1	0	0	0	0	0
I don't even know if I did sleep!	1	0	0	0	0	0
My back hurt so bad in the middle of the night I had to take an Ibuprofen, Now I'm at work and I'm shaking so bad and my stomach is so tight!	1	0	0	0	0	0
I hope this goes away.	0	0	0	0	0	0
I can't seem to focus, my eyes are blurred and sensitive to the light.	1	0	0	0	0	0
"LOST MY MIND COMPLETELY, FUNCTIONING AT 28% CONSCIOUSNESS, I ALMOST JUMPED OUT OF A WINDOW, BUT I TOLD MYSELF: ""THIS IS NOT ME."	1	0	0	0	0	0
"THIS IS THE MEDICINE""."	0	0	0	0	0	0
AND CALLED 911)  I started on 10 and I felt very depressed still, actually worse, panicky and extremely anxious, then the pdoc doubled my dose to 20!	1	0	0	1	1	1
"then I lost it, The hospital told my husband I was functioning at 28% consciousness, I wrote all over my body, talked to the walls, cried HARD, and screamed ""dont touch me!"""	1	0	0	0	0	0
I was TERRIFIED, felt like I was intoxicated by some horrible drug, they admited me for 5 days, then I quit this drug and started on LAMICTAL which saved my life I now feel content and complete.	1	0	0	0	0	0
:-)	0	0	0	0	0	0
Problems with memory.	1	0	0	0	0	0
Inability to focus/concentrate, 	1	0	0	0	0	0
nausea, headache.	1	0	0	0	0	0
i know it's only my 2nd day, but I am nauseated, and have had a headache since 30 minutes after taking the 1st pill.	1	0	0	0	0	0
I asked my phamacist, & he said it should subside.	0	0	0	0	0	0
I'm not sure how many days I could take of this.	0	0	0	0	0	0
Should I pull out now before I have to worry abot withdrawl?	0	0	0	0	0	0
jaw clenching at night, teeth grinding, nausea, constipation, food cravings, weight gain, total loss of sex drive, inability to O, insomnia, loss of taste.	1	0	0	0	0	0
I will be asking my doctor to try something else on my next appointment.	0	0	0	0	0	0
My DH says he can tell my moods are better, but I am making an extreme effort to be more pleasant around my family (I didn't realize how horrible I was before).	0	0	1	0	0	0
I do not feel any better, I still have anxiety, severe foul moods, complete negative outlook on life.	0	0	0	1	1	1
I can not see that this drug has helped much and I am not willing to continue given the side effects I am experiencing.	1	0	0	1	0	0
I've always had somewhat of a sweet tooth, but now I crave peanut butter cups with a vengance- it is the only thing that still tastes good to me, But, I am also eating like crazy.	1	0	0	0	0	0
If I let myself get hungry, then I get nauseated.	1	0	0	0	0	0
I have gained 10 lbs in 1 month, and am terrified it will continue.	1	0	0	0	0	0
dry mouth, shaky, gas and bloating, upper back ache especially at night, clammy feeling, headache, nervousness.	1	0	0	0	0	0
I stopped taking it because i am a healthy person and i normally feel great physically.	0	0	0	0	0	0
but it made me feel bad and i was scared to continue.	0	0	0	1	0	0
sleeplessness, vivid dreams, hallucinations, tiredness, muscle aches, fluctuating blood pressure, zoned out, Don't take it.	1	0	0	0	0	0
Lethargic, body aches, migranes, Dr. prescribed 20mg daily.	1	0	0	0	0	0
I take it at night.	0	0	0	0	0	0
The first 2 days were great.	0	0	1	0	0	0
I was feeling like my old self again, Then BOOM!	0	0	1	0	0	0
I could not function.	1	0	0	0	0	0
My mind was in a fog.	1	0	0	0	0	0
I didn't care about anything.	1	0	0	0	0	0
The headaches were unbearable.	1	0	0	0	0	0
I have a problem with insomnia anyway so I haven't made a decision to start taking it in the morning yet.	1	0	0	0	0	0
